Thread Code,R,G,B
D180,217,163,152
D184,215,106,97
DT184,198,85,75
D10041,177,55,63
D10042,170,48,52
D10043,144,45,52
DS1052,204,74,68
D10044,194,67,63
D10045,181,51,48
D10046,180,47,61
D702,179,47,58
D10047,171,41,49
D10048,166,42,55
DT117,217,159,165
D1081,216,148,157
D1082,209,121,132
D1083,208,111,129
D1084,182,76,95
D1085,179,51,73
D10049,169,47,68
D10050,167,52,69
D10051,153,34,53
D10052,144,34,52
D10053,141,43,55
D30011,136,163,183
D30012,105,141,177
D30013,75,116,157
D30014,34,84,144
D30015,29,78,143
D30016,39,76,133
D30017,36,72,130
D30018,112,141,171
D30019,80,118,164
D30020,48,83,140
D30021,37,73,133
D368,41,67,124
D30022,42,71,131
D30023,87,131,169
D30024,49,106,161
D30025,31,85,142
D30026,32,79,138
D30027,34,67,115
D311,151,174,191
D30028,124,152,174
D30029,99,137,166
D30030,52,93,130
D30031,38,71,106
D334,40,65,96
D30032,45,65,94
D571,211,225,134
D572,210,220,109
D576,211,221,95
D573,214,221,89
D574,214,224,48
D575,210,231,78
D50085,209,227,68
D50086,203,236,5
D578,198,220,75
D50087,203,239,53
D580,200,228,110
D581,192,224,99
D582,195,226,101
D579,158,197,92
D50088,157,201,72
D227,202,254,56
D3,191,246,-49
D50089,140,224,73
D229,123,221,97
D231,93,199,100
D228,193,203,130
D50090,187,198,112
D50091,159,176,50
DT228,119,144,36
D50092,125,152,60
D351,196,201,197
D390,107,169,171
D20046,93,157,153
D291,84,151,144
D331,185,198,197
D2039,152,188,184
D2041,101,159,160
D2042,86,150,153
D293,65,142,146
D301,191,202,203
D302,169,191,197
D30172,93,139,156
D385,11,86,103
DT393,20,64,77
D30173,51,85,105
D318,58,82,98
D316,53,79,97
D361,182,199,200
D30174,171,190,189
D30175,138,168,171
D30176,113,150,157
D30177,48,88,97
D30178,40,75,83
D30179,37,69,77
D30180,38,62,68
D450,188,182,177
D451,162,145,133
D452,145,132,126
D453,111,98,93
D40015,104,86,81
D454,101,84,79
DT745,102,77,67
D70062,105,77,65
D70063,99,69,59
D714,101,69,58
